Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CAR_hms_government;Убанги-Шари;;;;;;;;;;;;;
CAR_hms_government_ADJ;Убанги;;;;;;;;;;;;;
CAR_liberal;Республиканская Прогрессивная Партия;;;;;;;;;;;;;
CAR_conservative;Демократический Союз;;;;;;;;;;;;;
CAR_socialist;MLPC;;;;;;;;;;;;;
CAR_reactionary;MESAN;;;;;;;;;;;;;
CAR_anarcho_liberal;MEDAC;;;;;;;;;;;;;
CAR_communist;MDI;;;;;;;;;;;;;
CAR_fascist;Патриотический Фронт;;;;;;;;;;;;;
CGO;Конго;;;;;;;;;;;;;
CGO_ADJ;Конголезск.;;;;;;;;;;;;;
CGO_proletarian_dictocratship;Народная Республика Конго;;;;;;;;;;;;;
CGO_liberal;MCDDI;;;;;;;;;;;;;
CGO_anarcho_liberal;Союз за Демократическое Обновление;;;;;;;;;;;;;
CGO_conservative;UDDIA;;;;;;;;;;;;;
CGO_reactionary;Партия Единства, Труда и Прогресса;;;;;;;;;;;;;
CGO_socialist;Прогрессивная Партия Конго;;;;;;;;;;;;;
CGO_communist;Трудовая Партия Конго;;;;;;;;;;;;;
CGO_fascist;Дружественный Союз для Полного Изменения;;;;;;;;;;;;;
CHD;Чад;;;;;;;;;;;;;
CHD_ADJ;Чадск.;;;;;;;;;;;;;
CHD_liberal;Республиканский Союз;;;;;;;;;;;;;
CHD_conservative;Демократический Союз;;;;;;;;;;;;;
CHD_socialist;Независимая Социалистическая Партия;;;;;;;;;;;;;
CHD_reactionary;Движение за Патриотическое Спасение;;;;;;;;;;;;;
CHD_anarcho_liberal;Федерация, Действие за Республику;;;;;;;;;;;;;
CHD_communist;Прогрессивная Партия;;;;;;;;;;;;;
CHD_fascist;Национальный Союз за Реформы;;;;;;;;;;;;;
CHI_presidential_dictatorship;Бэян Чжунгуо;;;;;;;;;;;;;
CHI_proletarian_dictatorship;Народная Республика Китай;;;;;;;;;;;;;
CHI_democracy;Республика Китай;;;;;;;;;;;;;
CHI_absolute_monarchy;Китай;;;;;;;;;;;;;
CHI;Китай;;;;;;;;;;;;;
CHO;Чугоку;;;;;;;;;;;;;
CHO_ADJ;Чугокуан;;;;;;;;;;;;;
CHO_absolute_monarchy;Чошу;;;;;;;;;;;;;
CHO_prussian_constitutionalism;Чошу;;;;;;;;;;;;;
CHO_hms_government;Чошу;;;;;;;;;;;;;
CHO_absolute_monarchy_ADJ;Мори;;;;;;;;;;;;;
CHO_prussian_constitutionalism_ADJ;Мори;;;;;;;;;;;;;
CHO_hms_government_ADJ;Мори;;;;;;;;;;;;;
POR_conservative;Картизм;;;;;;;;;;;;;
CHP;Чьяпас;;;;;;;;;;;;;
CHP_ADJ;Чьяпасец;;;;;;;;;;;;;
CHP_liberal;Либеральная партия;;;;;;;;;;;
CHP_socialist;Социалистическая партия;;;;;;;;;;;
CHP_conservative;Республиканская партия государственников;;;;;;;;;;;
CHP_anarcho_liberal;Анархистская партия;;;;;;;;;;;
CHP_communist;Коммунистическая партия;;;;;;;;;;;
CHP_fascist;Националистическая партия;;;;;;;;;;;
CHP_reactionary;Республиканский союз;;;;;;;;;;;
CIR;Черкессия;;;;;;;;;;;;;
CIR_ADJ;Черкесск.;;;;;;;;;;;;;
CIR_liberal;Либеральная партия;;;;;;;;;;;;;
CIR_conservative;Консервативная партия;;;;;;;;;;;;;
CIR_socialist;Социалистическая партия;;;;;;;;;;;;;
CIR_reactionary;Национальная партия;;;;;;;;;;;;;
CIR_anarcho_liberal;Партия свободных людей;;;;;;;;;;;;;
CIR_communist;Партия объединения;;;;;;;;;;;;;
CIR_fascist;Партия народного единства;;;;;;;;;;;;;
CLC;Киликия;;;;;;;;;;;;;
CLC_ADJ;Киликийск.;;;;;;;;;;;;;
CLM_fascist_dictatorship;Великая Колумбия;;;;;;;;;;;;;
CLM_absolute_monarchy;Новая Гранада;;;;;;;;;;;;;
CLM_prussian_constitutionalism;Новая Гранада;;;;;;;;;;;;;
CLM_hms_government;Новая Гранада;;;;;;;;;;;;;
CMR;Камерун;;;;;;;;;;;;;
CMR_ADJ;Камерунск.;;;;;;;;;;;;;
CMR_liberal;Прогрессивное движение;;;;;;;;;;;;;
CMR_conservative;Демократический союз Камеруна;;;;;;;;;;;;;
CMR_socialist;Социал-демократический фронт;;;;;;;;;;;;;
CMR_reactionary;Национальный союз Камеруна;;;;;;;;;;;;;
CMR_anarcho_liberal;Национальный союз за демократию и прогресс;;;;;;;;;;;;;
CMR_communist;Союз народов Камеруна;;;;;;;;;;;;;
CMR_fascist;Группировка патриотических сил;;;;;;;;;;;;;
CPL;Королевство Польши;;;;;;;;;;;;;
CPL_ADJ;Польск.;;;;;;;;;;;;;
CRS;Корсика;;;;;;;;;;;;;
CRS_ADJ;Корсиканск.;;;;;;;;;;;;;
CRS_conservative;Консервативная фракция;;;;;;;;;;;;;
CRS_liberal;Либеральная фракция;;;;;;;;;;;;;
CRS_reactionary;Бонапартистская фракция;;;;;;;;;;;;;
CRS_socialist;Социалистическая фракция;;;;;;;;;;;;;
CRS_communist;Коммунистическая фракция;;;;;;;;;;;;;
CRS_anarcho_liberal;Анархистская фракция;;;;;;;;;;;;;
CRS_fascist;Фашистская фракция;;;;;;;;;;;;;
CSA_democracy;Конфедеративные Штаты Америки;;;;;;;;;;;;;
CSA_presidential_dictatorship;Конфедеративные Штаты Америки;;;;;;;;;;;;;
CSA_bourgeois_dictatorship;Конфедеративные Штаты Америки;;;;;;;;;;;;;
CSA_absolute_monarchy;Имперская Конфедерация;;;;;;;;;;;;;
CSA_prussian_constitutionalism;Имперская Конфедерация;;;;;;;;;;;;;
CSA;Конфедеративные Штаты Америки;;;;;;;;;;;;;
CSA_fascist_dictatorship;Конфедерация;;;;;;;;;;;;;
CSA_proletarian_dictatorship;Народная Конфедерация;;;;;;;;;;;;;
CYR;Киренаика;;;;;;;;;;;;;
CYR_absolute_monarchy;Сенуси;;;;;;;;;;;;;
CYR_absolute_monarchy_ADJ;Сенуси;;;;;;;;;;;;;
CYR_ADJ;Киренаикск.;;;;;;;;;;;;;
CYR_conservative;Джамият аль-Ахд;;;;;;;;;;;;;
CYR_liberal;Джам'иййат аль-Джами'а аль-'Арабиййа;;;;;;;;;;;;;
CYR_reactionary;Аль-Сенуси;;;;;;;;;;;;;
CYR_anarcho_liberal;Аль-Анарколиберали;;;;;;;;;;;;;
CYR_socialist;Хизб аль-Ба'ат;;;;;;;;;;;;;
CYR_communist;Аль-Шиу'и;;;;;;;;;;;;;
CYR_fascist;Аль-Фаши;;;;;;;;;;;;;
CHY;Чечня;;;;;;;;;;;;;
CHY_ADJ;Чеченск.;;;;;;;;;;;;;
CHY_reactionary;Кадири;;;;;;;;;;;;;
CHY_liberal;Реформистская фракция;;;;;;;;;;;;;
CHY_conservative;Тукхум;;;;;;;;;;;;;
CHY_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
CHY_socialist;Социалистическая партия;;;;;;;;;;;;;
CHY_communist;Коммунистическая партия;;;;;;;;;;;;;
CHY_fascist;Фашистская партия;;;;;;;;;;;;;
DAG;Дагестан;;;;;;;;;;;;;
DAG_ADJ;Дагестанск.;;;;;;;;;;;;;
DAG_theocracy;Кавказский Имамат;;;;;;;;;;;;;
DAG_presidential_dictatorship;Дагестан;;;;;;;;;;;;;
DAG_proletarian_dictatorship;Дагестан;;;;;;;;;;;;;
DAG_bourgeois_dictatorship;Дагестан;;;;;;;;;;;;;
DAG_democracy;Дагестан;;;;;;;;;;;;;
DAG_fascist_dictatorship;Дагестан;;;;;;;;;;;;;
DAG_liberal;Либеральная фракция;;;;;;;;;;;;;
DAG_socialist;Социалистическая партия;;;;;;;;;;;;;
DAG_reactionary;Националистическая партия;;;;;;;;;;;;;
DAG_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
DAG_communist;Коммунистическая партия;;;;;;;;;;;;;
DAG_fascist;Фашистская партия;;;;;;;;;;;;;
DAG_conservative;Консервативная партия;;;;;;;;;;;;;
DAK;Республика Дакота;;;;;;;;;;;;;
DAK_ADJ;Дакотск.;;;;;;;;;;;;;
DAK_absolute_monarchy;Содружество Дакота;;;;;;;;;;;;;
DAK_prussian_constitutionalism;Содружество Дакота;;;;;;;;;;;;;
DAK_hms_government;Содружество Дакота;;;;;;;;;;;;;
DAK_reactionary;Фракция Белого Орла;;;;;;;;;;;;;
DAK_conservative;Традиционалисты;;;;;;;;;;;;;
DAK_liberal;Республиканская фракция;;;;;;;;;;;;;
DAK_anarcho_liberal;Либертарианская фракция;;;;;;;;;;;;;
DAK_socialist;Социалистическая фракция;;;;;;;;;;;;;
DAK_communist;Коммунистическая фракция;;;;;;;;;;;;;
DAK_fascist;Восточные реставрационисты;;;;;;;;;;;;;
DJA;Джамби;;;;;;;;;;;;;
DJA_ADJ;Джамбийск.;;;;;;;;;;;;;
DLM;Далмация;;;;;;;;;;;;;
DLM_ADJ;Далматинск.;;;;;;;;;;;;;
DNB;Дунайская Федерация;;;;;;;;;;;;;
DNB_ADJ;Дунайск.;;;;;;;;;;;;;
DNB_proletarian_dictatorship;Дунайская Республика;;;;;;;;;;;;;
DNB_fascist_dictatorship;Дунайская Республика;;;;;;;;;;;;;
DNB_presidential_dictatorship;Дунайская Республика;;;;;;;;;;;;;
DNB_bourgeois_dictatorship;Дунайская Республика;;;;;;;;;;;;;
DOI;Доминика;;;;;;;;;;;;;
DOI_ADJ;Доминиканск.;;;;;;;;;;;;;
DON;Казачья Республика;;;;;;;;;;;;;
DON_absolute_monarchy;Казачий Гетманат;;;;;;;;;;;;;
DON_hms_government;Казачий Союз;;;;;;;;;;;;;
DON_prussian_constitutionalism;Казачий Гетманат;;;;;;;;;;;;;
DON_fascist_dictatorship;Казачья;;;;;;;;;;;;;
DON_ADJ;Казач.;;;;;;;;;;;;;
DON_conservative;Консерваторы;;;;;;;;;;;;;
DON_liberal;Либералы;;;;;;;;;;;;;
DON_reactionary;Фракция Гетманата;;;;;;;;;;;;;
DON_anarcho_liberal;Либертарианцы;;;;;;;;;;;;;
DON_socialist;Социалисты;;;;;;;;;;;;;
DON_communist;Коммунисты;;;;;;;;;;;;;
DON_fascist;Националистическая фракция;;;;;;;;;;;;;
DRA;Дравидистан;;;;;;;;;;;;;
DRA_absolute_monarchy;Дравидийская Империя;;;;;;;;;;;;;
DRA_fascist_dictatorship;Дравид Наду;;;;;;;;;;;;;
DRA_ADJ;Дравидийск.;;;;;;;;;;;;;
DUR;Пуштунистан;;;;;;;;;;;;;
DUR_ADJ;Пуштун;;;;;;;;;;;;;
DUR_absolute_monarchy;Империя Дуррани;;;;;;;;;;;;;
DUR_prussian_constitutionalism;Империя Дуррани;;;;;;;;;;;;;
DUR_hms_government;Империя Дуррани;;;;;;;;;;;;;
DUR_absolute_monarchy_ADJ;Дуррани;;;;;;;;;;;;;
DUR_prussian_constitutionalism_ADJ;Дуррани;;;;;;;;;;;;;
DUR_hms_government_ADJ;Дуррани;;;;;;;;;;;;;
DUR_fascist_dictatorship;Республика Дуррани;;;;;;;;;;;;;
DUR_fascist_dictatorship_ADJ;Дуррани;;;;;;;;;;;;;
ENL;Британия;;;;;;;;;;;;;
ENL_ADJ;Британск.;;;;;;;;;;;;;
ENT;Энтре-Риос;;;;;;;;;;;;;
ENT_ADJ;Энтрерриано;;;;;;;;;;;;;
ENT_conservative;Федералисты;;;;;;;;;;;;;
ENT_conservative_2;Федералистская партия;;;;;;;;;;;;;
ENT_liberal;Либеральная партия;;;;;;;;;;;;;
ENT_liberal_2;Демократическая партия;;;;;;;;;;;;;
ENT_socialist;Партия Асуль;;;;;;;;;;;;;
ENT_conservative_3;Гражданский союз Энтре-Риос;;;;;;;;;;;;;
ENT_communist;Коммунистическая партия;;;;;;;;;;;;;
ENT_liberal_3;Либералы;;;;;;;;;;;;;
ENT_reactionary;Националистическая партия;;;;;;;;;;;;;
ENT_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
ENT_socialist_2;Социалистическая партия;;;;;;;;;;;;;
ENT_fascist;Фашистская партия;;;;;;;;;;;;;
ERT;Эритрея;;;;;;;;;;;;;
ERT_ADJ;Эритрейск.;;;;;;;;;;;;;
ERT_conservative;Королевская фракция;;;;;;;;;;;;;
ERT_liberal;Либеральная фракция;;;;;;;;;;;;;
ERT_reactionary;Националистическая фракция;;;;;;;;;;;;;
ERT_anarcho_liberal;Радикальная фракция;;;;;;;;;;;;;
ERT_socialist;Социалистическая фракция;;;;;;;;;;;;;
ERT_communist;Коммунистическая фракция;;;;;;;;;;;;;
ERT_fascist;Фашистская фракция;;;;;;;;;;;;;
FIJ;Фиджи;;;;;;;;;;;;;
FIJ_ADJ;Фиджийск.;;;;;;;;;;;;;
FIU;Фиуме;;;;;;;;;;;;;
FIU_ADJ;Фиуманск.;;;;;;;;;;;;;
FIU_fascist_dictatorship;Карнаро;;;;;;;;;;;;;
FIU_bourgeois_dictatorship;Карнаро;;;;;;;;;;;;;
FIU_presidential_dictatorship;Карнаро;;;;;;;;;;;;;
FIU_democracy;Свободное государство Фиуме;;;;;;;;;;;;;
FIU_liberal;Либеральная партия;;;;;;;;;;;;;
FIU_conservative;Автономная партия;;;;;;;;;;;;;
FIU_reactionary;Националисты;;;;;;;;;;;;;
FIU_socialist;Социалистическая партия Фиуме;;;;;;;;;;;;;
FIU_communist;Коммунистическая партия Фиуме;;;;;;;;;;;;;
FIU_anarcho_liberal;Радикалы;;;;;;;;;;;;;
FIU_fascist;Фашисты;;;;;;;;;;;;;
FJN;Фуцзянь;;;;;;;;;;;;;
FJN_ADJ;Фуцзянь;;;;;;;;;;;;;
FJN_presidential_dictatorship;Клика Фуцзянь;;;;;;;;;;;;;
FJN_fascist_dictatorship;Республика Мин;;;;;;;;;;;;;
FJN_fascist_dictatorship_ADJ;Мин;;;;;;;;;;;;;
FJN_reactionary;Фракция Бэйян;;;;;;;;;;;;;
FJN_socialist;Социалистическая партия;;;;;;;;;;;;;
FJN_communist;Коммунистическая партия Китая;;;;;;;;;;;;;
FJN_liberal;Либеральная партия;;;;;;;;;;;;;
FJN_conservative;Фракция Куоминтан;;;;;;;;;;;;;
FJN_fascist;Партия Мин;;;;;;;;;;;;;
FJN_anarcho_liberal;Партия Свободы;;;;;;;;;;;;;
FRA_liberal;Республиканцы;;;;;;;;;;;;;
FRA_liberal_2;Либеральный союз;;;;;;;;;;;;;
FRA_liberal_3;Либеральный республиканец;;;;;;;;;;;;;
FRA_conservative;Орлеанист;;;;;;;;;;;;;
FRA_conservative_2;Бурбонист;;;;;;;;;;;;;
FRA_conservative_3;Умеренные республиканцы;;;;;;;;;;;;;
FRA_conservative_4;Орлеанист;;;;;;;;;;;;;
FRA_conservative_5;Роялист;;;;;;;;;;;;;
FSA;Свободные Штаты Америки;;;;;;;;;;;;;
FSA_ADJ;Американск.;;;;;;;;;;;;;
FSA_absolute_monarchy;Свободная Американская Империя;;;;;;;;;;;;;
FSA_prussian_constitutionalism;Свободная Американская Империя;;;;;;;;;;;;;
FSA_proletarian_dictatorship;Свободная Американская Республика;;;;;;;;;;;;;
FSM;Микронезия;;;;;;;;;;;;;
FSM_ADJ;Микронезийск.;;;;;;;;;;;;;
FSM_liberal;Либеральная партия;;;;;;;;;;;;;
FSM_conservative;Консервативная партия;;;;;;;;;;;;;
FSM_reactionary;Националистическая партия;;;;;;;;;;;;;
FSM_socialist;Партия труда;;;;;;;;;;;;;
FSM_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
FSM_communist;Коммунистическая партия;;;;;;;;;;;;;
FSM_fascist;Фашистская партия;;;;;;;;;;;;;
galicio_asturian;Галисийско-Астурийск.;;;;;;;;;;;;;
GAB;Габон;;;;;;;;;;;;;
GAB_ADJ;Габонск.;;;;;;;;;;;;;
GAB_liberal;Круг либеральных реформаторов;;;;;;;;;;;;;
GAB_conservative;Демократический и социальный союз;;;;;;;;;;;;;
GAB_socialist;Молодые габонцы;;;;;;;;;;;;;
GAB_reactionary;Габонский демократический блок;;;;;;;;;;;;;
GAB_anarcho_liberal;Защита интересов Габона;;;;;;;;;;;;;
GAB_communist;Союз, Работа, Прогресс;;;;;;;;;;;;;
GAB_fascist;Партия народного единства;;;;;;;;;;;;;
GCO;Великая Колумбия;;;;;;;;;;;;;
GCO_ADJ;Колумбийск.;;;;;;;;;;;;;
GCO_absolute_monarchy;Новая Гранада;;;;;;;;;;;;;
GCO_prussian_constitutionalism;Новая Гранада;;;;;;;;;;;;;
GCO_hms_government;Новая Гранада;;;;;;;;;;;;;
GCO_absolute_monarchy_ADJ;Новогранадск.;;;;;;;;;;;;;
GCO_prussian_constitutionalism_ADJ;Новогранадск.;;;;;;;;;;;;;
GCO_hms_government_ADJ;Новогранадск.;;;;;;;;;;;;;
GLC;Галиция;;;;;;;;;;;;;
GLC_ADJ;Галисийск.;;;;;;;;;;;;;
GLC_conservative;Партия модератов;;;;;;;;;;;;;
GLC_liberal;Прогрессивная партия;;;;;;;;;;;;;
GLC_reactionary;Националистическая партия;;;;;;;;;;;;;
GLC_socialist;Социалистическая партия;;;;;;;;;;;;;
GLC_communist;Региональная Федерация;;;;;;;;;;;;;
GLC_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
GLC_fascist;Фашистская партия;;;;;;;;;;;;;
GLM;Галиция-Лодомерия;;;;;;;;;;;;;
GLM_ADJ;Галисийск.;;;;;;;;;;;;;
GMB;Гамбия;;;;;;;;;;;;;
GMB_ADJ;Гамбийск.;;;;;;;;;;;;;
GMB_liberal;Объединенная партия;;;;;;;;;;;;;
GMB_anarcho_liberal;Национальная конвенционная партия;;;;;;;;;;;;;
GMB_conservative;Демократическая партия;;;;;;;;;;;;;
GMB_reactionary;Мусульманская конгресс-партия;;;;;;;;;;;;;
GMB_socialist;Народная прогрессивная партия;;;;;;;;;;;;;
GMB_communist;Народная партия Гамбии;;;;;;;;;;;;;
GMB_fascist;Конгресс-партия Гамбии;;;;;;;;;;;;;
GMJ;Гуоминьджун;;;;;;;;;;;;;
GMJ_ADJ;Гуоминьджун;;;;;;;;;;;;;
GMJ_reactionary;Фракция Бэйян;;;;;;;;;;;;;
GMJ_socialist;Социалистическая партия;;;;;;;;;;;;;
GMJ_communist;Коммунистическая партия Китая;;;;;;;;;;;;;
GMJ_liberal;Либеральная партия;;;;;;;;;;;;;
GMJ_conservative;Фракция Куоминтан;;;;;;;;;;;;;
GMJ_fascist;Фашистская партия;;;;;;;;;;;;;
GMJ_anarcho_liberal;Партия Свободы;;;;;;;;;;;;;
GNE;Гвинея;;;;;;;;;;;;;
GNE_ADJ;Гвинейск.;;;;;;;;;;;;;
GNE_liberal;Союз за прогресс и обновление;;;;;;;;;;;;;
GNE_anarcho_liberal;Союз за прогресс;;;;;;;;;;;;;
GNE_conservative;Африканский блок Гвинеи;;;;;;;;;;;;;
GNE_reactionary;Демократическая партия Гвинеи;;;;;;;;;;;;;
GNE_socialist;Социалистическая демократия Гвинеи;;;;;;;;;;;;;
GNE_communist;Народное собрание Гвинеи;;;;;;;;;;;;;
GNE_fascist;Национальный союз за процветание;;;;;;;;;;;;;
GNG;Гуандун;;;;;;;;;;;;;
GNG_ADJ;Гуандун;;;;;;;;;;;;;
GNG_presidential_dictatorship;Клика Гуандун;;;;;;;;;;;;;
GNG_reactionary;Фракция Бэйян;;;;;;;;;;;;;
GNG_socialist;Социалистическая партия;;;;;;;;;;;;;
GNG_communist;Коммунистическая партия Китая;;;;;;;;;;;;;
GNG_liberal;Либеральная партия;;;;;;;;;;;;;
GNG_conservative;Фракция Куоминтан;;;;;;;;;;;;;
GNG_fascist;Фашистская партия;;;;;;;;;;;;;
GNG_anarcho_liberal;Партия Свободы;;;;;;;;;;;;;
GRA;Гренада;;;;;;;;;;;;;
GRA_ADJ;Гренадск.;;;;;;;;;;;;;
GRN;Гренландия;;;;;;;;;;;;;
GRN_ADJ;Гренландск.;;;;;;;;;;;;;
GUY;Гайана;;;;;;;;;;;;;
GUY_ADJ;Гайанск.;;;;;;;;;;;;;
GUY_conservative;Голландская фракция;;;;;;;;;;;;;
GUY_liberal;Французская фракция;;;;;;;;;;;;;
GUY_socialist;Партия Руимвельдт;;;;;;;;;;;;;
GUY_communist;Союз труда Британской Гвианы;;;;;;;;;;;;;
GUY_reactionary;Британская фракция;;;;;;;;;;;;;
GUY_anarcho_liberal;Американская фракция;;;;;;;;;;;;;
GUY_fascist;Партия единства;;;;;;;;;;;;;
GXI_presidential_dictatorship;Клика Гуангси;;;;;;;;;;;;;
HAL;Ха'иль;;;;;;;;;;;;;
HAL_ADJ;Хаильск.;;;;;;;;;;;;;
HAL_reactionary;Партия аль-Хашемийя аль-Урдуни;;;;;;;;;;;;;
HAL_conservative;Партия аль-Васат аль-Ислами;;;;;;;;;;;;;
HAL_liberal;Йасари-д-аль-Димакрати аль-Урдуни;;;;;;;;;;;;;
HAL_anarcho_liberal;Аль Анаркилиберали;;;;;;;;;;;;;
HAL_socialist;Хизб аль-Баат аль-Иштираки аль-Урдуни;;;;;;;;;;;;;
HAL_communist;Аль-Хизб аль-Шуйуи аль-Урдуни;;;;;;;;;;;;;
HAL_fascist;Хизб аль-Мустакбал;;;;;;;;;;;;;
HDU;Хиндустан;;;;;;;;;;;;;
HDU_ADJ;Хиндустани;;;;;;;;;;;;;
HNN;Хунань;;;;;;;;;;;;;
HNN_ADJ;Хунань;;;;;;;;;;;;;
HNN_presidential_dictatorship;Клика Хунань;;;;;;;;;;;;;
HNN_reactionary;Фракция Бэйян;;;;;;;;;;;;;
HNN_socialist;Социалистическая партия;;;;;;;;;;;;;
HNN_communist;Коммунистическая партия Китая;;;;;;;;;;;;;
HNN_liberal;Либеральная партия;;;;;;;;;;;;;
HNN_conservative;Фракция Куоминтан;;;;;;;;;;;;;
HNN_fascist;Фашистская партия;;;;;;;;;;;;;
HNN_anarcho_liberal;Партия Свободы;;;;;;;;;;;;;
HOL_anarcho_liberal;Радикальная партия;;;;;;;;;;;;;
HUI;Аньхой;;;;;;;;;;;;;
HUI_ADJ;Аньхой;;;;;;;;;;;;;
HUI_presidential_dictatorship;Клика Аньхой;;;;;;;;;;;;;
HUI_reactionary;Фракция Бэйян;;;;;;;;;;;;;
HUI_socialist;Социалистическая партия;;;;;;;;;;;;;
HUI_communist;Коммунистическая партия Китая;;;;;;;;;;;;;
HUI_liberal;Либеральная партия;;;;;;;;;;;;;
HUI_conservative;Фракция Куоминтан;;;;;;;;;;;;;
HUI_fascist;Фашистская партия;;;;;;;;;;;;;
HUI_anarcho_liberal;Партия Свободы;;;;;;;;;;;;;
INO;Индонезия;;;;;;;;;;;;;
INO_ADJ;Индонезийск.;;;;;;;;;;;;;
INO_conservative;Партия Голонган Карья;;;;;;;;;;;;;
INO_liberal;Партия Маджелис Сюро Мусулимин Индонезия;;;;;;;;;;;;;
INO_liberal_2;Демократическая партия;;;;;;;;;;;;;
INO_reactionary;Нахдлатул Улама;;;;;;;;;;;;;
INO_anarcho_liberal;Партия Насдем;;;;;;;;;;;;;
INO_socialist;Социалистическая партия Индонезии;;;;;;;;;;;;;
INO_socialist_2;Национальная партия Индонезии;;;;;;;;;;;;;
INO_communist;Коммунистическая партия Индонезии;;;;;;;;;;;;;
INO_fascist;Партия движения Великой Индонезии;;;;;;;;;;;;;
IOM;Остров Мэн;;;;;;;;;;;;;
IOM_ADJ;Мэнск.;;;;;;;;;;;;;
IOM_liberal;Либеральная партия;;;;;;;;;;;;;
IOM_conservative;Народная политическая ассоциация;;;;;;;;;;;;;
IOM_reactionary;Национальная партия;;;;;;;;;;;;;
IOM_socialist;Партия труда;;;;;;;;;;;;;
IOM_anarcho_liberal;Группа позитивных действий;;;;;;;;;;;;;
IOM_communist;Коммунистическая партия;;;;;;;;;;;;;
IOM_fascist;Мек Ваннин;;;;;;;;;;;;;
ITA_democracy;Италия;;;;;;;;;;;;;
ITA_bourgeois_dictatorship_ADJ;Итальянск.;;;;;;;;;;;;;
ITA_proletarian_dictatorship;Народная Республика Италия;;;;;;;;;;;;;
ITA_proletarian_dictatorship_ADJ;Итальянск.;;;;;;;;;;;;;
IVC;Кот-д'Ивуар;;;;;;;;;;;;;
IVC_ADJ;Кот-д'Ивуарск.;;;;;;;;;;;;;
IVC_liberal;Союз республиканцев;;;;;;;;;;;;;
IVC_anarcho_liberal;URDIESCI;;;;;;;;;;;;;
IVC_conservative;Соглашение независимых;;;;;;;;;;;;;
IVC_reactionary;Демократическая партия;;;;;;;;;;;;;
IVC_socialist;Африканское социалистическое движение;;;;;;;;;;;;;
IVC_communist;Народный фронт Кот-д'Ивуара;;;;;;;;;;;;;
IVC_fascist;Движение сил будущего;;;;;;;;;;;;;
IZH;Ингрия;;;;;;;;;;;;;
IZH_ADJ;Ингерманландск.;;;;;;;;;;;;;
JAM;Ямайка;;;;;;;;;;;;;
JAM_ADJ;Ямайск.;;;;;;;;;;;;;
JAM_conservative;Консервативная партия;;;;;;;;;;;;;
JAM_liberal;Либеральная партия;;;;;;;;;;;;;
JAM_reactionary;Альянс за национальное единство;;;;;;;;;;;;;
JAM_socialist;Народная политическая партия;;;;;;;;;;;;;
JAM_communist;Партия работников;;;;;;;;;;;;;
JAM_anarcho_liberal;Радикальная партия;;;;;;;;;;;;
JAM_fascist;Фашистская партия;Фашистская партия;Фашистская партия;;;;;;;;;;;
JAP_absolute_monarchy;Императорская Япония;;;;;;;;;;;;;
JAP_reactionary;Хандо:то;Фракция Сёгуната;Фракция Сёгуната;;;;;;;;;;;
JAP_conservative;Риккэн Тэйсэйто:;Фракция двора;Фракция двора;;;;;;;;;;;
JAP_conservative_2;Риккэн Кайсинто:;Империалистическая фракция;Империалистическая фракция;;;;;;;;;;;
JAP_reactionary_2;Хандо:то;Националистическая фракция;Националистическая фракция;;;;;;;;;;;
JAP_conservative_3;Татиягаре Ниппон;Консервативная фракция;Консервативная фракция;;;;;;;;;;;
JAP_liberal;Айкокуся;Либеральная фракция;Либеральная фракция;;;;;;;;;;;
JAP_socialist;Сякайто:;Марксистская фракция;Марксистская фракция;;;;;;;;;;;
JAP_anarcho_liberal;Исин Сэйто Симпу;;;;;;;;;;;;;
JAP_communist;Кё:санто:;Коммунистическая фракция;Коммунистическая фракция;;;;;;;;;;;
JAP_fascist;Кокухонся;Фашистская фракция;Фашистская фракция;;;;;;;;;;;
JNG;Джерси и Гернси;Джерси и Гернси;Джерси и Гернси;;Джерси и Гернси;;;;;;;;;
JNG_ADJ;Житель Канальных островов;Жерриа;Джерсийск.;;Жерси;;;;;;;;;
JNG_liberal;Либеральная фракция;Либеральная фракция;Либеральная фракция;;Либеральная фракция;;;;;;;;;
JNG_conservative;Консервативная фракция;Консервативная фракция;;Консервативная фракция;;;;;;;;;;
JNG_reactionary;Монархическая фракция;Монархическая фракция;Монархическая фракция;;Монархическая фракция;;;;;;;;;
JNG_socialist;Трудовая фракция;Трудовая фракция;Трудовая фракция;;Трудовая фракция;;;;;;;;;
JNG_anarcho_liberal;Анархистская фракция;Анархистская фракция;Анархистская фракция;;Анархистская фракция;;;;;;;;;
JNG_communist;Коммунистическая фракция;Коммунистическая фракция;Коммунистическая фракция;;Коммунистическая фракция;;;;;;;;;
JNG_fascist;Нормандская фракция;Нормандская фракция;Нормандская фракция;;Нормандская фракция;;;;;;;;;
JOR;Иордания;;;;;;;;;;;;;
JOR_ADJ;Иорданск.;;;;;;;;;;;;;
JOR_reactionary;Хизб аль-Хашимийя аль-Урдуни;;;;;;;;;;;;;
JOR_conservative;Хизб аль-Васат аль-Ислами;;;;;;;;;;;;;
JOR_liberal;Ясари-д-аль-Димакрати аль-Урдуни;;;;;;;;;;;;;
JOR_anarcho_liberal;Аль Анаркилиберали;;;;;;;;;;;;;
