Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
claim_tsushima_title;Претензия на Даэмадо;;;;;;;;;;;;;
claim_tsushima_desc; Остров Дэмадо, известный японцами как Цусима, с древних времен был частью Кореи, несмотря на оккупацию иностранными японскими силами. Пришло время исправить это и заявить права на остров ради славы Кореи!;;;;;;;;;;;;;
integrate_the_metis_title; Интегрировать метисов;;;;;;;;;;;;;
integrate_the_metis_desc; Хотя метисы первоначально развивались как потомки от союзов между коренным населением и европейскими поселенцами колониальной эры, в течение нескольких поколений (особенно в центральной и западной Канаде) сформировалась отдельная культура метисов. Интеграция этих людей ближе к Канаде позволит нам подавить их национальные чаяния по мере того, как они становятся все более канадскими.;;;;;;;;;;;;;
cleanup_colonial_cores_title; ИИ: Очистка колониальных ядер;;;;;;;;;;;;; 
cleanup_colonial_cores_desc; ИИ: Очистка колониальных ядер;;;;;;;;;;;;;
rename_bourbon_island_title; Переименовать остров Бурбон;;;;;;;;;;;;;
rename_bourbon_island_desc; Французская территория Индийского океана известна под несколькими названиями - Остров Реюньон, Остров Бурбон, Остров Бонапарта. Но сейчас пришло время дать ему более подходящее название - более соответствующее нынешнему французскому правительству.;;;;;;;;;;;;;
ionian_lose_accepted_cultures_title; Греческое превосходство на Ионических островах;;;;;;;;;;;;; 
ionian_lose_accepted_cultures_desc; Произошел сдвиг в политическом балансе, и теперь на Ионических островах действует политика греческого превосходства.;;;;;;;;;;;;;
election_start_player_title; ИИ: Начало выборов;;;;;;;;;;;;;
election_start_player_desc; ИИ: Начало выборов;;;;;;;;;;;;; 
election_end_player_title; ИИ: Выборы закончились;;;;;;;;;;;;;
election_end_player_desc; ИИ: Выборы закончились;;;;;;;;;;;;;
release_galicia_lodomeria_title; Галицийский протекторат;;;;;;;;;;;;;
release_galicia_lodomeria_desc; С образованием недавнего анклава в Галиции-Лодомерии у нас нет иного выбора, кроме как предоставить им большую автономию для самоуправления.;;;;;;;;;;;;;
integrate_kuwait_title; Интегрировать Кувейт;;;;;;;;;;;;;
integrate_kuwait_desc; Шейхи Кувейта долгое время приезжали в $CAPITAL$, чтобы отдать дань уважения $COUNTRY_ADJ$ султану. Этот сюзеренитет был в основном неформальным и де-юре. Но в последние годы отношения между $COUNTRY_ADJ$ правительством и Кувейтом сблизились, и этот сюзеренитет стал де-факто реальностью. Сейчас пришло время сделать последний шаг и полностью интегрировать Кувейт в $COUNTRY_ADJ$ бюрократию. Шейхи Кувейта продолжат жить в Кувейте и будут обладать некоторой небольшой властью в местной политике, но все решения должны и будут исходить из $CAPITAL$.;;;;;;;;;;;;;
occupy_syrian_desert_title; Оккупировать Сирийскую пустыню;;;;;;;;;;;;;
occupy_syrian_desert_desc; От Тигра до Средиземного моря сирийская пустыня представляет собой обширный ландшафт пустыни, полупустыни и бесплодных пустошей, на которых обитают кочевники и полукочевые скотоводы. $COUNTRY_ADJ$ правительство заявляет о своей власти на большей части этой территории, но наши претензии - это просто претензии. Кочевое население не признает никакой власти. Высокопоставленные должностные лица в $CAPITAL$ разработали планы по созданию нескольких военных баз на территориях, на которые мы претендуем, тем самым обеспечив эффективную оккупацию пустыни. Однако такой шаг, скорее всего, будет отражен любыми нациями, имеющими интересы в сирийских пустошах.;;;;;;;;;;;;; 
move_capital_to_belgrade_title; Перенести столицу в Белград;;;;;;;;;;;;; 
move_capital_to_belgrade_desc; Исторически Белград был столицей Сербии. Теперь, когда османский гарнизон покинул город, было бы благоприятно перенести столицу нашей нации в нашу старую историческую столицу, как показатель нашей недавно обретенной независимости.;;;;;;;;;;;;; 
remove_war_focus_title; Убрать военный фокус;;;;;;;;;;;;; 
remove_war_focus_desc; Мы больше не воюем, фокус бесполезен.;;;;;;;;;;;;; 
warn_imperialism_cb_is_available_title; Надвигающийся империализм;;;;;;;;;;;;; 
warn_imperialism_cb_is_available_desc; Выживем ли мы после иностранного нашествия?;;;;;;;;;;;;; 
haussmanns_renovations_title; Реконструкция Османа;;;;;;;;;;;;; 
haussmanns_renovations_desc; План Османа был проектом по модернизации и городскому обновлению Парижа, осуществленным в период с 1852 по 1870 год. Проект был инициирован после периода быстрого городского роста и развития, поскольку старый центр Парижа оказался неспособным удовлетворить инфраструктурные потребности растущего города. Длинные, открытые бульвары, которые отстаивал Осман, остаются определяющими характеристиками планировки улиц Парижа с тех пор. По оценкам, реформы обойдутся в 50 000 франков, оплаченных сейчас или в рассрочку.;;;;;;;;;;;;; 
accept_the_flemish_title; Принять фламандцев;;;;;;;;;;;;; 
accept_the_flemish_desc; $COUNTRY_ADJ$ допустила несколько ошибок в обращении с фламандцами. Протестантско-католический раскол и политическое остракизм, среди прочего, привели к Бельгийской революции. Пришло время попытаться восстановить наши отношения, внедрить эффективную свободу вероисповедания и предоставить им равные права. Покорность перед ними подорвет наш международный престиж, но это позволит нам снова жить в мире.;;;;;;;;;;;;; 
create_vietnamese_protectorate_title; Объявить протекторат над Вьетнамом;;;;;;;;;;;;; 
create_vietnamese_protectorate_desc; Чтобы выполнить $COUNTRY_ADJ$ амбиции по созданию индокитайской колонии, высокопоставленные должностные лица в $CAPITAL$ разработали план по обоснованию и объявлению протектората над Вьетнамом. Теперь мы можем привести этот план в действие.;;;;;;;;;;;;; 
first_annexiation_limburg_title; Лимбургский вопрос;;;;;;;;;;;;; 
first_annexiation_limburg_desc; С окончанием таможенного союза под руководством Австрии, известного как Германский союз, и возникновением современного, взаимосвязанного германского государства, герцогство Лимбург стало устаревшим обещанием, которое было частью недействующего Германского союза. Лимбург международно признан неотъемлемой частью Нидерландов, но по мере того, как немцы обращают свои глаза и амбиции на полное объединение всех государств Германского союза, герцогство стало опасным компромиссом. Несколько высокопоставленных лиц в $CAPITAL$ готовят приказ для $MONARCHTITLE$ на подпись, объявляющий о прекращении существования старого герцогства Лимбург и его полной интеграции в Нидерланды. Однако немцы могут попытаться протестовать против этого шага.;;;;;;;;;;;;; 
ostend_manifesto_title; Остендский манифест;;;;;;;;;;;;;
ostend_manifesto_desc; Остендский манифест предлагает, чтобы остров Куба был присоединен к Соединенным Штатам в качестве рабовладельческого штата, чтобы уравновесить ожидаемый приток новых свободных штатов на Западе. Поддерживая манифест, мы можем успокоить напряженность по вопросу рабства внутри страны, но это может значительно снизить наш авторитет в глазах европейских великих держав. Манифест также предлагает смену внешней политики, оправдывая применение силы для захвата Кубы во имя национальной безопасности в случае, если ее владельцы не захотят продать ее нам.;;;;;;;;;;;;; 
revoke_back_to_africa_act_player_title; Отменить Акт о возвращении в Африку;;;;;;;;;;;;;
revoke_back_to_africa_act_player_desc; Мы можем отменить «Акт о возвращении в Африку», но демонтаж структуры, построенной вокруг него, означает, что любые усилия по его восстановлению займут некоторое время.;;;;;;;;;;;;;
back_to_africa_act_title; Акт о возвращении в Африку;;;;;;;;;;;;;
back_to_africa_act_desc; Американское колонизационное общество было одним из первых сторонников идеи переселения чернокожих американцев в Африку. Основанное в 1816 году, оно состояло из двух основных групп: аболиционистов и рабовладельцев. Члены-аболиционисты верили в освобождение африканских рабов вместе с их потомками и предоставление им возможности вернуться в Африку. Члены из числа рабовладельцев считали, что свободные чернокожие подрывают систему рабства и стремились изгнать их из страны. Их усилия в конечном итоге оказались бесплодными, поскольку они не привлекли значительного числа колонизаторов. Однако при поддержке американского правительства переселение не будет добровольным. Подписав «Акт о возвращении в Африку», мы можем осуществить их замысел, на этот раз путем насильственной репатриации афроамериканского сообщества в наших основных территориях. Это не будет быстро, и это привлечет много негативного внимания со стороны международного сообщества, но мы можем продолжить работу Американского колонизационного общества по репатриации африканской диаспоры в стране. ;;;;;;;;;;;;;
revoke_back_to_africa_act_title; Отменить акт о возвращении в Африку;;;;;;;;;;;;;
revoke_back_to_africa_act_desc; Мы можем отменить «Акт о возвращении в Африку», но демонтаж структуры, построенной вокруг него, означает, что любые усилия по его восстановлению займут некоторое время.;;;;;;;;;;;;;
return_colonies_from_dismantled_tag_title; Возвращение наших колоний;;;;;;;;;;;;;
return_colonies_from_dismantled_tag_desc; С недавним поражением колониальной державы наши претензии на одну из наших колоний, которыми они владеют, снова оказались в центре внимания. Международное сообщество в целом согласно с тем, что эти колонии должны быть возвращены правительству $COUNTRY_ADJ$ - нам просто нужно предпринять необходимые шаги, чтобы вернуть их.;;;;;;;;;;;;;
release_colonies_that_werent_annexed_title; Колониальная свобода;;;;;;;;;;;;;
release_colonies_that_werent_annexed_desc; Наши бывшие сюзерены были побеждены, и мы обрели свободу. Ура!;;;;;;;;;;;;;
meiji_daijokan_ordinances_title; Ордонансы Дайдзёкана - земельная реформа;;;;;;;;;;;;;
meiji_daijokan_ordinances_desc; $COUNTRY_ADJ$ правительство объявило о реформировании системы земельного налогообложения в $YEAR$ году в рамках Ордонансов Дайдзёкана в Японии. Правительство первоначально приказало отдельным фермерам самостоятельно измерять участки своей земли, рассчитывать налоги и представлять результаты местным налоговым чиновникам. Однако возникли трудности с честностью системы измерений, когда бюджет показал, что собранные налоги значительно ниже прогнозируемых значений. Частная собственность на землю была впервые признана в Японии с выдачей земельных титулов. Предыдущая практика землевладения заключалась в законах о государственной земле и государственном гражданстве, в которых говорилось, что вся земля находится в единоличной собственности императора, так что отдельные фермеры лишь брали землю в аренду у феодальных правителей, которые, в свою очередь, брали ее в аренду у императора. Реформа упразднила эту архаичную систему землевладения и начала позволять землевладельцам использовать свою собственность в качестве финансового актива в залоге или других инвестициях. Этот закон был одним из первых шагов на пути развития капитализма в Японии, параллельно английскому статуту Quia Emptores, принятому несколькими веками ранее.;;;;;;;;;;;;;
create_india_title; Предоставить Индии право на самоуправление;;;;;;;;;;;;;
create_india_desc; Индия становится слишком большой и слишком обременительной, чтобы оставаться прямой колонией. В $CAPITAL$ несколько ключевых министров предложили предоставить им самоуправление, чтобы успокоить индийский национализм, в то время как некоторые местные индийские правители попросили не интегрироваться в Индию и продолжать находиться под защитой $COUNTRY$.;;;;;;;;;;;;;
accept_the_maltese_title; Принять мальтийцев;;;;;;;;;;;;;
accept_the_maltese_desc; Несмотря на наши общие культурные связи, Мальта долгое время была отдельным образованием и находилась под контролем британских интересов. Теперь, когда мы владеем островом, мы можем начать процесс интеграции, чтобы сделать мальтийцев неотъемлемой частью великой итальянской нации.;;;;;;;;;;;;;
free_botswana_title; Освободить Ботсвану;;;;;;;;;;;;;
free_botswana_desc; Теперь, когда Родезия/Зимбабве и Южная Африка независимы, Ботсвана тоже должна быть независимой.;;;;;;;;;;;;;
flip_colonial_cores_title; Колониальная родина;;;;;;;;;;;;;
flip_colonial_cores_desc; Наша возлюбленная родина растет, по мере того как в наши руки возвращаются все больше исторических территорий. Мы не можем держать ее в колониальном статусе - территория $COUNTRY$ никогда не будет колонией.;;;;;;;;;;;;;
reject_pan_nationalism_title; Отклонить паннационализм;;;;;;;;;;;;;
reject_pan_nationalism_desc; В $COUNTRY_ADJ$ академических кругах велась речь об объединении с нашими братьями в большей стране, отказавшись от нашей независимости в пользу паннационалистического союза. Однако мы доказали, что мы вполне справляемся и в одиночку, и что судьба $COUNTRY$ не связана с другими странами. Чтобы закрепить это понятие, несколько министров в $CAPITAL$ предложили новую программу для нашей системы образования, а также серию публикаций в СМИ, которые помогут сделать мечты $COUNTRY_ADJ$ народа о вхождении в паннационалистический союз далекой мечтой.;;;;;;;;;;;;;
the_congo_ccupation_expedition_title; Конголезская экспедиция;;;;;;;;;;;;;
the_congo_ccupation_expedition_desc; Оккупация Конго почти завершена, осталось несколько очагов сопротивления.;;;;;;;;;;;;;
turn_on_government_decisions_title; Показать решения «Правительство»;;;;;;;;;;;;;
turn_on_government_decisions_desc;" Это решение покажет ""правительственные решения"", решения, которые не используются повсеместно и могут быть скрыты, чтобы избежать беспорядка. Это:\n- Отремонтировать академию\n- Поработить крепостных\n- Отключить выплаты вассального вклада\n- Включить решения «Вернуть ядра»\n- Включить решения «Освободить вассалов»\n- Реформировать колониальную армию \n- Увеличить срок призыва\n- Реформировать местное правительство (изменить тег, который не существует, и которому вы принадлежите, чтобы иметь те же реформы)\n- Выбрать торговую политику\n- Прямой номер 1 \n Распустить верхнюю палату \n Начать пропагандистскую кампанию";;;;;;;;;;;;;
turn_off_government_decisions_title; Скрыть решения «Правительство»;;;;;;;;;;;;;
turn_off_government_decisions_desc; Эта опция скроет следующие решения:\n- Отремонтировать академию\n- Поработить крепостных\n- Отключить выплаты вассального вклада\n- Включить решения «Вернуть ядра»\n- Включить решения «Освободить вассалов» \n- Реформировать колониальную армию\n- Увеличить срок призыва\n- Реформировать местное правительство (изменить тег, который не существует, и которому вы принадлежите, чтобы иметь те же реформы)\n- Выбрать торговую политику\n- Прямой номер 1\n Распустить верхнюю палату\n Начать пропагандистскую кампанию;;;;;;;;;;;;;
turn_on_organize_colony_decisions_title; Показать решения «Организовать колонию»;;;;;;;;;;;;;
turn_on_organize_colony_decisions_desc; Решения по организации колониальных наций скрыты, чтобы не загромождать вкладку решений.;;;;;;;;;;;;;
turn_off_organize_colony_decisions_title; Скрыть решения «Организовать колонию»;;;;;;;;;;;;;
turn_off_organize_colony_decisions_desc; Скрыть решения по организации колониальных наций.;;;;;;;;;;;;;
italians_in_balkans_title; Итальянская диаспора;;;;;;;;;;;;;
italians_in_balkans_desc; В эпоху Возрождения и отчасти благодаря огромному влиянию итальянских торговых республик итальянский народ распространился по частям Средиземноморья и Балкан. Однако в эпоху национализма к этим людям относятся как к гражданам второго сорта или с недоверием. Как в Италии, так и от итальянцев за рубежом раздавались призывы распространить итальянское влияние на эти земли и защитить итальянский народ.;;;;;;;;;;;;;
insolvent_ai_still_in_debt_title; Еще чрезвычайные меры;;;;;;;;;;;;;
insolvent_ai_still_in_debt_desc; Наши предыдущие меры оказались недостаточными.;;;;;;;;;;;;;
insolvent_ai_debt_gone_title; Налоговые льготы;;;;;;;;;;;;;
insolvent_ai_debt_gone_desc; Ситуация с финансами $COUNTRY$ разрешена... на данный момент.;;;;;;;;;;;;;
insolvent_ai_cant_borrow_title; Чрезвычайные меры;;;;;;;;;;;;;
insolvent_ai_cant_borrow_desc; Мы должны ввести строгие меры для решения нашего экономического кризиса.;;;;;;;;;;;;;
cleaning_after_international_zones_title; Конец международной зоны $COUNTRY$;;;;;;;;;;;;; 
cleaning_after_international_zones_desc; С тех пор, как мы получили больше территории, международная зона в нашей стране все меньше и меньше признается. Конгресс великих держав теперь отменил наш статус международной зоны.;;;;;;;;;;;;; 
core_heligoland_title; $COUNTRY_ADJ$ претензии на Гелиголанд;;;;;;;;;;;;;
core_heligoland_desc; Небольшой Североморский остров Гелиголанд стал британским владением во время наполеоновских войн, официально уступленный Данией по Кильскому договору 1814 года. После объединения Германии остров стал объектом желания для $COUNTRY$, поскольку немногие жители острова были в основном немцами. Теперь, когда он прочно в наших руках, никто не может отрицать наши претензии на Гелиголанд.;;;;;;;;;;;;; 
von_moltkes_staff_reforms_desc; В 1857 году Гельмут фон Мольтке был назначен начальником Генерального штаба Пруссии, который он вскоре начал реформировать. Среди идей, реализованных фон Мольтке, были отдел исторических исследований, обширные военные игры и специальный отдел, посвященный каталогизации и изучению телеграфных и железнодорожных сетей Пруссии, а также тому, как их можно использовать с наибольшей пользой в случае войны. Конечным результатом стало то, что ко времени Франко-прусской войны Генеральный штаб Пруссии считался самым эффективным в Европе, его методы вскоре стали широко изучаться и приниматься за рубежом. Мольтке оставался начальником прусского штаба в течение следующих 30 лет и известен как один из самых блестящих военных стратегов XIX века.;;;;;;;;;;;;;
disable_trade_policy_globally_title; Опция: отключить решения о торговой политике;;;;;;;;;;;;; 
disable_trade_policy_globally_desc; Решения о торговой политике помогают ИИ экономить больше денег и помогают исторически сильно протекционистским странам (таким как США, Россия) делать то, что они делали исторически, и вводить высокие тарифы на импорт. Они происходят раз в 10 лет (иногда они отменяются раньше) и у ИИ есть полная автономия, чтобы выбрать один из нескольких вариантов (так что никакое поведение не гарантируется). Если вы по какой-то причине хотите отключить это, вы можете сделать это с помощью этой опции.;;;;;;;;;;;;; 
option_localized_names_title; Опция: локализованные названия провинций;;;;;;;;;;;;;
option_localized_names_desc;По умолчанию названия провинций используют английское название, если оно существует. Если вы предпочитаете, чтобы названия всегда были локализованы, эта опция сделает это. Названия будут использовать современный язык страны или культурное большинство. Предпочтительно, чтобы оба совпадали. Эта опция находится в разработке и не завершена, поэтому, если у вас есть предложения, я добавлю их.;;;;;;;;;;;;; 
cash_crops_africa_title; Товарные культуры и горное дело;;;;;;;;;;;;; 
cash_crops_africa_desc; Наши новые колонии послужат нам намного лучше, если местные жители откажутся от натурального сельского хозяйства. Посредством серии инвестиций, предназначенных для компаний и частных лиц, мы можем подтолкнуть производство в наших колониях в направлении, которое нам больше подходит.;;;;;;;;;;;;; 
quality_coal_decision_title; Открыть шахты высококачественного угля;;;;;;;;;;;;; 
quality_coal_decision_desc; У нас есть несколько угольных шахт в нашей стране, которые производят превосходный битуминозный уголь, горящий дольше и дающий больше тепла. Их эксплуатация увеличит нашу добычу угля.;;;;;;;;;;;;; 
end_of_natural_dyes_title; Конец натуральных красителей?;;;;;;;;;;;;; 
end_of_natural_dyes_desc; Открытие синтетических красителей в середине XIX века спровоцировало длительный спад на крупномасштабном рынке натуральных красителей. Синтетические красители, которые могут производиться в больших количествах, быстро вытеснили натуральные красители для коммерческого производства текстиля, обусловленного промышленной революцией, и в отличие от натуральных красителей подходят для синтетических волокон, которые последовали за ними. В нескольких наших провинциях производство натуральных красителей на протяжении нескольких лет стабильно сокращается, и сейчас производители едва ли могут продать свою продукцию. Столкнувшись с банкротством, большинство производителей красителей ищут новые товары для продажи. Мы можем помочь им найти новые рынки.;;;;;;;;;;;;; 
vassal_stop_paying_vassal_payments_title; Прекратить выплаты сюзерену;;;;;;;;;;;;; 
vassal_stop_paying_vassal_payments_desc; Наш сюзерен издал приказ, разрешающий нам прекратить любые взносы в его казну.;;;;;;;;;;;;; 
turn_off_vassal_payments_title; Освободить вассалов от взносов в нашу казну;;;;;;;;;;;;; 
turn_off_vassal_payments_desc; Наши сундуки достаточно полны, и члены кабинета выдвинули предложение об освобождении наших вассалов, не субъектов, от взносов в казну $COUNTRY$. Эта налоговая льгота укрепит наши отношения с ними в краткосрочной перспективе, но никак не повлияет на наши финансы.;;;;;;;;;;;;; 
turn_on_vassal_payments_title; Обязать вассалов вносить вклад в нашу казну;;;;;;;;;;;;; 
turn_on_vassal_payments_desc; Предыдущая налоговая льгота, предложенная вассалам, исчерпала себя. Нам нужно, чтобы каждый вассал $COUNTRY$ внес свой вклад в поддержание славы $COUNTRY_ADJ$.;;;;;;;;;;;;; 
specific_trade_policy_title; Выбрать торговую политику;;;;;;;;;;;;; 
specific_trade_policy_desc; Хотя правящая партия имеет свою собственную широкую торговую политику, в правительстве конкурируют несколько экономических школ. Принятие торговой политики лишит нас некоторой гибкости в установлении тарифов, но позволит более эффективно собирать тарифы и, возможно, получить другие преимущества по сравнению с нестабильной тарифной политикой.   ;;;;;;;;;;;;;
rescind_trade_policy_title; ИИ: отменить торговую политику;;;;;;;;;;;;; 
rescind_trade_policy_desc; Наша торговая политика или политика нашего соседа больше не соответствует пожеланиям правящей партии.;;;;;;;;;;;;; 
chile_treaty_of_peace_and_friendship_title; Пограничный договор Антофагасты;;;;;;;;;;;;; 
chile_treaty_of_peace_and_friendship_desc; Слишком много крови было пролито из-за Антофагасты, и теперь вовлеченные страны готовы сесть за стол переговоров и обсудить этот вопрос. При международной помощи и арбитраже мы разработали предложение, предусматривающее выплату компенсации в размере 60 000 фунтов стерлингов всем участвующим сторонам, выплачиваемой в рассрочку на протяжении следующих лет, причем каждая сторона получает половину общей суммы. Взамен они откажутся от своих претензий на Антофагасту. Любые территории, которые мы можем удерживать от вовлеченных сторон и которые не оспариваются $COUNTRY$, будут возвращены их законным владельцам, а любые наши претензии в регионах, помимо Антофагасты, будут переданы на международный арбитраж.;;;;;;;;;;;;; 
name_oslo_title; Переименовать Христианию;;;;;;;;;;;;; 
name_oslo_desc; После того, как город, известный тогда как Осло, был уничтожен пожаром в 1624 году во время правления короля Кристиана IV, он был перемещен ближе к крепости Акерсхус и переименован в честь короля в Христианию. С годами многие в правительстве считают, что оригинальное название, произошедшее от древнескандинавского языка, было бы гораздо лучшим названием, представляющим наследие города, чем имя старого монарха.;;;;;;;;;;;;; 
january_uprising_victory_title; Польское восстание победило;;;;;;;;;;;;; 
january_uprising_victory_desc; Успех последнего восстания означает признание Польши свободным суверенным государством. Наши дни подчинения иностранным державам закончились.;;;;;;;;;;;;; 
copenhagen_convention_title; Призыв к конвенции по датским проливам;;;;;;;;;;;;; 
copenhagen_convention_desc; Звуковой сбор (пошлина) был введен королем Эриком Померанским в 1429 году и действует по сей день. Пошлина на всю торговлю, проходящую через датские проливы, наносит ущерб нашей торговле в регионе. Мы можем созвать конвенцию, чтобы раз и навсегда решить эту ситуацию, если у нас есть деньги, чтобы заплатить надлежащие компенсации и выступить гарантом того, что эти деньги будут выплачены.;;;;;;;;;;;;; 
abolish_sound_dues_title; Отменить Звуковые сборы;;;;;;;;;;;;; 
abolish_sound_dues_desc; Они отказались отменять пошлины на датские проливы, но теперь у них нет выбора. У нас есть сила, чтобы положить конец их удушающей хватке на Балтийском море.;;;;;;;;;;;;; 
take_corrients_title; Корриентес и Энтре-Риос;;;;;;;;;;;;; 
take_corrients_desc; Провинции Корриентес и Энтре-Риос долгое время были близки. Теперь, с восстанием Корриентеса и нашим завоеванием провинции, губернатор Энтре-Риоса предпринял несколько политических шагов, которые поставили провинцию под его влияние.;;;;;;;;;;;;; 
declaration_of_independence_title; $COUNTRY_ADJ$ Декларация независимости;;;;;;;;;;;;; 
declaration_of_independence_desc; Мы де-факто независимая страна, несмотря на то, что думают другие страны. Теперь у нас достаточно влияния, чтобы утвердить эту независимость раз и навсегда, чтобы нас признали полноценной суверенной нацией, на которую ни у кого нет притязаний.;;;;;;;;;;;;; 
substate_nation; Субъект;;;;;;;;;;;;; 
monthly_substate_payment_title; Ежемесячный платеж;;;;;;;;;;;;; 
monthly_substate_payment_desc; Как вассалы, мы вынуждены вносить вклад в казну нашего сюзерена.;;;;;;;;;;;;; 
claim_arab_coast_title; $YEAR$ Экспедиция на Аравийский залив;;;;;;;;;;;;; 
claim_arab_coast_desc; $COUNTRY_ADJ$ губернатор в Багдаде прибыл в $CAPITAL$, чтобы запросить военное снабжение и солдат для оснащения экспедиции по борьбе с набегами ваххабитов на купцов в Персидском заливе. С открытием Суэцкого канала торговля из Персидского залива становится все более ценной, и важно, чтобы мы оказывали как можно больше власти и влияния в этом регионе. Аравийский полуостров разделен между семьями аль-Сауд и аль-Рашид, и хотя мы однажды разгромили саудовскую семью ваххабитов, они продолжают возвращаться.;;;;;;;;;;;;; 
claim_bahrain_title; Претендовать на Бахрейн;;;;;;;;;;;;; 
claim_bahrain_desc; Небольшой остров в Персидском заливе долгое время доминировал арабскими семьями и мелкими шейхствами. Границы нестабильны, и правители нашей страны более одного раза в истории заявляли права на эту территорию. Пришло время вновь заявить о наших правах на эти земли и завоевать полуостров.;;;;;;;;;;;;; 
basotho_asks_for_protection_title; Попросить защиты;;;;;;;;;;;;; 
basotho_asks_for_protection_desc;Наша земля больше не такая, как раньше, и завоеватели окружают нашу территорию. Есть те в нашей стране, кто считает, что чтобы выжить, нам нужно отказаться от независимости и попросить защиты, став вассалом Капской колонии.;;;;;;;;;;;;;
montenegro_borders_title; Черногорские границы;;;;;;;;;;;;;
montenegro_borders_desc; Хотя Черногория долгое время была независимой, ее полные границы никогда официально не признавались, что привело к претензиям со стороны Хорватии и Боснии. Пришло время это изменить.;;;;;;;;;;;;;
renovate_capital_title; Обновить $CAPITAL$;;;;;;;;;;;;;
renovate_capital_desc; $CAPITAL$ - старый город, но тесные средневековые улицы и здания определенно не идут ему на пользу. Чтобы внедрить современную транспортную сеть и устранить потенциальные санитарные проблемы, мы можем инвестировать в обновление $CAPITAL$, чтобы сделать его достойным столицы $COUNTRY$.;;;;;;;;;;;;;
bulgarian_miracle_title; Болгарское чудо;;;;;;;;;;;;;
